2017-10-09 22:50:49 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:49 status half-configured libapt-inst2.0:amd64 1.2.20
2017-10-09 22:50:49 status unpacked libapt-inst2.0:amd64 1.2.20
2017-10-09 22:50:49 status half-installed libapt-inst2.0:amd64 1.2.20
2017-10-09 22:50:49 status half-installed libapt-inst2.0:amd64 1.2.20
2017-10-09 22:50:49 status unpacked libapt-inst2.0:amd64 1.2.24
2017-10-09 22:50:49 status unpacked libapt-inst2.0:amd64 1.2.24
2017-10-09 22:50:49 upgrade apt:amd64 1.2.20 1.2.24
2017-10-09 22:50:49 status half-configured apt:amd64 1.2.20
2017-10-09 22:50:50 status unpacked apt:amd64 1.2.20
2017-10-09 22:50:50 status half-installed apt:amd64 1.2.20
2017-10-09 22:50:50 status triggers-pending man-db:amd64 2.7.5-1
2017-10-09 22:50:50 status half-installed apt:amd64 1.2.20
2017-10-09 22:50:50 status unpacked apt:amd64 1.2.24
2017-10-09 22:50:50 status unpacked apt:amd64 1.2.24
2017-10-09 22:50:50 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2017-10-09 22:50:50 status half-configured libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:50 status installed libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:50 trigproc man-db:amd64 2.7.5-1 <none>
2017-10-09 22:50:50 status half-configured man-db:amd64 2.7.5-1
2017-10-09 22:50:50 status installed man-db:amd64 2.7.5-1
2017-10-09 22:50:50 startup packages configure
2017-10-09 22:50:50 configure apt:amd64 1.2.24 <none>
2017-10-09 22:50:50 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:50 status unpacked apt:amd64 1.2.24
2017-10-09 22:50:50 status unpacked apt:amd64 1.2.24
2017-10-09 22:50:50 status unpacked apt:amd64 1.2.24
2017-10-09 22:50:50 status unpacked apt:amd64 1.2.24
2017-10-09 22:50:50 status unpacked apt:amd64 1.2.24
2017-10-09 22:50:50 status unpacked apt:amd64 1.2.24
2017-10-09 22:50:50 status half-configured apt:amd64 1.2.24
2017-10-09 22:50:51 status installed apt:amd64 1.2.24
2017-10-09 22:50:51 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2017-10-09 22:50:51 status half-configured libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:51 status installed libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:51 startup archives unpack
2017-10-09 22:50:51 upgrade apt-utils:amd64 1.2.20 1.2.24
2017-10-09 22:50:51 status half-configured apt-utils:amd64 1.2.20
2017-10-09 22:50:51 status unpacked apt-utils:amd64 1.2.20
